Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
226,200.0,-939.26,172.70506683695572,-0.0
227,200.0,-892.1,103.70470300172646,-0.00094
228,200.0,-927.08,155.28682767522076,-0.00067
229,200.0,-949.33,146.3597931064542,-0.00124
230,200.0,-957.03,81.56495279723664,-0.0008
231,200.0,-936.4,118.52153160866908,-0.00097
232,200.0,-998.3,156.11782793240863,-0.00145
233,200.0,-903.22,130.73709368841634,-0.00067
234,200.0,-972.72,133.15036670493956,-0.00081
235,200.0,-938.05,183.5257507429131,-0.00078
236,200.0,-1025.84,159.68102831815605,-0.00054
237,200.0,-943.18,138.3764294643775,-0.00204
238,200.0,-938.38,87.40592958101134,-0.00062
239,200.0,-920.71,119.13246539898526,-0.00088
240,200.0,-878.34,119.57976593868864,-0.00135
241,200.0,-940.7,193.33748570011173,-0.00068
242,200.0,-884.39,125.350337662365,-0.00201
243,200.0,-914.5,148.70066191463684,-5e-05
244,200.0,-896.98,179.24937372288815,-0.00104
245,200.0,-904.44,146.37409307247657,-0.00147
246,200.0,-924.41,104.88759761228415,-0.00146
247,200.0,-906.69,126.75538532453767,-0.00094
248,200.0,-922.14,163.59970267218887,-0.00141
249,200.0,-952.87,203.17344310841548,-0.00052
250,200.0,-943.82,201.4188099501671,-0.00021
251,200.0,-918.68,194.21617658575576,-0.00197
252,200.0,-1010.63,183.1530006532959,-0.00012
253,200.0,-956.61,128.3597015371173,-0.00133
254,200.0,-933.17,145.42836395804014,-0.00061
255,200.0,-976.67,156.78717101062279,-0.00186
256,200.0,-929.83,88.73302107316472,-0.00185
257,200.0,-974.37,187.18305807077766,-0.00087
258,200.0,-985.21,227.5694265445057,-0.00085
259,200.0,-930.45,142.68494871215907,-0.00058
260,200.0,-906.14,70.51070638018649,-0.00294
261,200.0,-884.96,141.13303169197374,-0.00193
262,200.0,-1011.35,144.17918233985546,-0.00117
263,200.0,-931.08,117.17678229067886,-0.00082
